type	category	data1	data2	data3	description	@icon
pair	Device	Geography	Geography		A wearable that vibrates when you are close to a protected hedgehog superhighway.	Tool_Recipes_rgb-38.eps
pair	Research	Democracy	Health		A study on the impact of Brump council cuts on waiting times at Sheridan General Hospital.	Tool_Recipes_rgb-31.eps
pair	Device	Product	Geography		A device that vibrates when you're near a shop in Sheridan that sells asparagus products.	Tool_Recipes_rgb-30.eps
pair	Research	Weather	Democracy		A study of the impact of air pollution on voter behaviour.	Tool_Recipes_rgb-33.eps
pair	Service	Democracy	Democracy		A service that provides real-time alerts of counts during elections.	Tool_Recipes_rgb-35.eps
pair	Mobile app	Geography	Health		A map of nursing homes in Sheridan.	Tool_Recipes_rgb-32.eps
pair	Service	Product	Health		A service reminding people when they need to collect asthma prescriptions.	Tool_Recipes_rgb-28.eps
pair	Research	Transport	Democracy		A study on the number of times Mayor Brump has taken the Brump Cable Car.	Tool_Recipes_rgb-26.eps
pair	Research	Weather	Health		An analysis of the effects of snowfall on health.	weather_health.eps
singleton	Research	Transport			A study of the impact of reduced train services into Sheridan on Hedgefest visitor numbers.	Tool_Recipes_rgb-19.eps
singleton	Service	Weather			A subscription service that tells you when it's likely to snow.	Tool_Recipes_rgb-18.eps
singleton	Research	Democracy			A study on the demography of Sheridan voters.	Tool_Recipes_rgb-16.eps
singleton	Mobile app	Geography			A map of hiking trails in Well's Woods.	Tool_Recipes_rgb-17.eps
singleton	Website	Health			A website providing information about asthma treatments.	Tool_Recipes_rgb-15.eps
singleton	Device	Product			A barcode scanner providing information about the source of asparagus.	Tool_Recipes_rgb-14.eps
straight	Website	Health	Transport	Democracy	A website to explore the link between budget for and performance of Sheridan's ambulance services.	Tool_Recipes_rgb-63.eps
straight	Mobile app	Democracy	Health	Geography	A mobile map of Sheridan's public clinics for people over 65.	Tool_Recipes_rgb-73.eps
straight	Research	Product	Democracy	Democracy	A study on Mayor Brump's expenses during his time in office.	Tool_Recipes_rgb-72.eps
straight	Device	Democracy	Product	Product	A device that displays recent purchases by Mayor Brump and who they were purchased from.	Tool_Recipes_rgb-67.eps
straight	Service	Democracy	Transport	Weather	A service providing free transport for elderly residents if the weather is bad on polling day.	Tool_Recipes_rgb-66.eps
straight	Service	Transport	Democracy	Geography	A service that alerts elderly voters when the Sheridan voting caravan is close by on polling day.	Tool_Recipes_rgb-64.eps
straight	Research	Health	Geography	Health	An analysis of the instances and strength of odours from Peter's Pond.	Tool_Recipes_rgb-69.eps
straight	Service	Geography	Geography	Health	A planning service helping people choose homes and schools based on local air pollution levels.	Tool_Recipes_rgb-70.eps
straight	Research	Geography	Weather	Geography	An analysis of the movements of hedgehogs around Sheridan during extreme weather.	Tool_Recipes_rgb-71.eps
straight	Website	Product	Transport	Product	A website letting you select groceries and delivery options based on their carbon footprint.	Tool_Recipes_rgb-65.eps
straight	Mobile app	Weather	Geography	Weather	An app showing the location of hedgehogs in your area and likely migration as winter approaches.	Tool_Recipes_rgb-74.eps
straight	Mobile app	Product	Weather	Product	An app that uses information from weather sensors to provide more accurate asparagus market predictions.	Tool_Recipes_rgb-68.eps
